Time;Open;High;Low;Last;Change;Volume;Open Int
9/17/19;18,228;18,228;18,228;18,228;-0,724;1801;28732
9/16/19;18,952;18,952;18,952;18,952;1,233;1992;28629
9/13/19;17,719;17,719;17,719;17,719;-0,09;2327;28865
9/12/19;17,809;17,809;17,809;17,809;-0,502;2710;29100
9/11/19;18,311;18,311;18,311;18,311;0,07;2763;28661
9/10/19;18,241;18,241;18,241;18,241;1,059;3192;28279
9/9/19;17,182;17,182;17,182;17,182;0,103;2176;28164
9/6/19;17,079;17,079;17,079;17,079;-0,047;1135;28169
9/5/19;17;17,126;17;17,126;0,322;490;28064
9/4/19;16,804;16,804;16,804;16,804;0,063;585;27964
9/3/19;16,741;16,741;16,741;16,741;0,073;700;27885
9/2/19;16,668;16,668;16,668;16,668;-0,464;1510;27344
8/30/19;17,132;17,132;17,132;17,132;0,082;1070;27049
8/29/19;17,05;17,05;17,05;17,05;0,143;1230;27064
8/28/19;16,907;16,907;16,907;16,907;-0,011;884;26691
8/27/19;16,918;16,918;16,918;16,918;-0,182;1585;26316
8/26/19;17,1;17,1;17,1;17,1;-0,011;1594;25613
8/23/19;17,111;17,111;17,111;17,111;-0,326;35;25628
8/22/19;17,437;17,437;17,437;17,437;0,028;1492;24968
8/21/19;17,409;17,409;17,409;17,409;0,037;1610;24800
8/20/19;17,372;17,372;17,372;17,372;0,117;1151;24534
8/19/19;17,255;17,255;17,255;17,255;-0,061;980;24682
8/16/19;17,316;17,316;17,316;17,316;-0,016;606;24862
8/15/19;17,332;17,332;17,332;17,332;-0,151;526;24777
8/14/19;17,483;17,483;17,483;17,483;-0,181;326;24796
8/13/19;17,664;17,664;17,664;17,664;0,316;560;24778
8/12/19;17,348;17,348;17,348;17,348;-0,195;666;24833
8/9/19;17,543;17,543;17,543;17,543;-0,122;736;24802
8/8/19;17,665;17,665;17,665;17,665;-0,076;1341;24825
8/7/19;17,741;17,741;17,741;17,741;-0,26;1056;24880
8/6/19;18,001;18,001;18,001;18,001;-0,056;1298;24620
8/5/19;18,057;18,057;18,057;18,057;-0,256;930;24400
8/2/19;18,313;18,313;18,313;18,313;-0,468;285;24313
8/1/19;18,781;18,781;18,781;18,781;0,268;1131;24096
7/31/19;18,513;18,513;18,513;18,513;0,166;1075;23759
7/30/19;18,347;18,347;18,347;18,347;-0,046;391;23769
7/29/19;18,393;18,393;18,393;18,393;-0,229;1275;24059
7/26/19;18,622;18,622;18,622;18,622;-0,041;705;24169
7/25/19;18,663;18,663;18,663;18,663;0,05;411;24039
7/24/19;18,613;18,613;18,613;18,613;-0,18;810;23989
7/23/19;18,793;18,793;18,793;18,793;0,268;950;24239
7/22/19;18,525;18,525;18,525;18,525;-0,17;145;24184
7/19/19;18,695;18,695;18,695;18,695;0,18;370;24344
7/18/19;18,515;18,515;18,515;18,515;-0,18;627;24271
7/17/19;18,695;18,695;18,695;18,695;0,007;966;23966
7/16/19;18,688;18,688;18,688;18,688;-0,686;1471;23284
7/15/19;19,374;19,374;19,374;19,374;-0,388;2000;23399
7/12/19;19,762;19,762;19,762;19,762;0,163;1404;23601
7/11/19;19,599;19,599;19,599;19,599;0,36;2133;23085
7/10/19;19,239;19,239;19,239;19,239;0,443;1296;23254
7/9/19;18,796;18,796;18,796;18,796;-0,072;875;23381
7/8/19;18,868;18,868;18,868;18,868;0,336;1120;23566
7/5/19;18,532;18,532;18,532;18,532;0,326;920;23571
7/4/19;18,206;18,206;18,206;18,206;0,13;620;23608
7/3/19;18,076;18,076;18,076;18,076;-0,089;445;23498
7/2/19;18,165;18,165;18,165;18,165;-0,293;750;23348
7/1/19;18,458;18,458;18,458;18,458;0,041;915;23143
6/28/19;18,417;18,417;18,417;18,417;-0,213;721;23227
6/27/19;18,63;18,63;18,63;18,63;-0,132;780;23186
6/26/19;18,762;18,762;18,762;18,762;0,15;965;23107
6/25/19;18,612;18,612;18,612;18,612;-0,228;490;23212
6/24/19;18,84;18,84;18,84;18,84;0,222;1790;22772
6/21/19;18,618;18,618;18,618;18,618;0,3;1162;22611
6/20/19;18,318;18,318;18,318;18,318;0,259;535;22701
6/19/19;18,059;18,059;18,059;18,059;-0,127;675;22756
6/18/19;18,186;18,186;18,186;18,186;-0,12;766;22675
6/17/19;18,306;18,306;18,306;18,306;0,022;625;22560
6/14/19;18,284;18,284;18,284;18,284;-0,213;450;22420
6/13/19;18,497;18,497;18,497;18,497;0,226;821;22735
6/12/19;18,271;18,271;18,271;18,271;-0,069;1245;22660
6/11/19;18,34;18,34;18,34;18,34;-0,634;1030;22260
6/10/19;18,974;18,974;18,974;18,974;0,23;1663;22791
6/7/19;18,744;18,744;18,744;18,744;0,456;250;22681
6/6/19;18,288;18,288;18,288;18,288;-0,08;186;22721
6/5/19;18,368;18,368;18,368;18,368;0,003;365;22571
6/4/19;18,365;18,365;18,365;18,365;0,005;2061;21966
6/3/19;18,36;18,36;18,36;18,36;-0,087;695;21936
5/31/19;18,447;18,447;18,447;18,447;-0,659;935;21689
5/30/19;19,106;19,106;19,106;19,106;-0,208;1471;21433
5/29/19;19,314;19,314;19,314;19,314;-0,003;410;21453
